# ----------------------------------------
# diski
# Copy_Code_Comparison-Free form 1
# 20260330-20260428
# ----------------------------------------

event_label_Dimension_name	Event count
	302723	Grand total
(not set)	208857
	10477
comp_codes_aff_open	5597
zalando	4136
shein	2962
giftcard_companypage_table	2905
giftcard_inmodal	2879
search_typing_shein	2617
comp_codes_aff_open_shein	1784
search_typing_zalan	1780
ginatricot	1315
loavies	1280
gutsgusto	1035
navbar_home	943
nakdfashion	933
h&m	855
about you	834
asos	814
search_typing_about	813
douglas	790
myjewellery	740
tessv	725
navbar_shops	704
search_typing_loavi	695
search_typing_dougl	639
pinkgellac	568
temu	547
giftcard_inmodal_zalando	546
gymshark	514
bol.com	460
lookfantastic	368
comp_codes_aff_open_aliexpress	367
mostwanted	353
comp_codes_aff_open_about you	337
search_typing_myjew	322
giftcard_inmodal_myjewellery	313
upfront	295
aliexpress	293
hunkemoller	282
comp_codes_aff_open_koro.com	276
search_typing_temu	276
comp_codes_aff_open_otrium	274
giftcard_inmodal_h&m	271
search_typing_myje	269
giftcard_companypage_table_shein	264
pullandbear	259
search_typing_gymsh	246
myproteinnl	245
giftcard_companypage_table_zalando	243
navbar_prikbord	243
navbar_wieheeftsale	243
search_typing_amazo	243
giftcard_companypage_table_gutsgusto	235
amazon	231
wehkamp	221
giftcard_companypage_table_dutchies.com	219
zara	216
giftcard_companypage_table_mostwanted	213
comp_codes_aff_open_joybuy	212
search_typing_loung	210
stradivarius	205
search_typing_wehka	202
giftcard_inmodal_loavies	201
comp_codes_aff_open_creamyfabrics	200
lounge by zalando	195
search_typing_tessv	194
comp_codes_aff_open_temu	180
search_typing_omoda	170
giftcard_companypage_table_bol.com	168
loungeunderwear	163
snuggs	161
search_typing_strad	151
iciparisxl	150
giftcard_inmodal_douglas	149
navbar_top5	145
search_typing_ginat	138
search_typing_adida	135
search_typing_greet	135
search_typing_otriu	132
search_typing_snipe	131
giftcard_inmodal_bol.com	129
otrium	128
search_typing_mango	128
prikbord_intable_homepage	126
cabaulifestyle	124
search_typing_bolc	123
search_typing_thuis	122
giftcard_inmodal_mostwanted	121
mango	120
omoda	120
search_typing_coste	119
adidas	118
jdsports	116
search_typing_upfro	116
thuisbezorgd	115
giftcard_companypage_table_myjewellery	114
search_typing_media	114
giftcard_companypage_table_snuggs	113
paulaschoice.nl	113
search_typing_bijen	113
search_typing_mostw	113
westwing	113
search_typing_bolco	112
search_typing_gina	112
search_typing_burga	111
hema	110
search_typing_olivi	110
xxlnutrition	108
giftcard_companypage_table_tessv	106
greetz.nl	105
search_typing_icipa	105
aybl	104
bershka	104
burga	103
giftcard_companypage_table_about you	103
giftcard_inmodal_pullandbear	102
idealofsweden	101
search_typing_haars	101
search_typing_bersh	99
search_typing_tess	99
mediamarkt	98
bodyandfit.com	97
bijenkorf	96
veromoda	96
nike	95
prikbord_voeg_code_toe	95
search_typing_cabau	94
search_typing_westw	94
comp_codes_aff_open_douglas	93
search_typing_most	92
comp_codes_aff_open_asos	91
giftcard_companypage_table_nakdfashion	91
search_typing_aliex	91
snipes	91
cashback_companypage_table	89
search_typing_paula	89
notino	88
haarspullen	87
vitakruid	87
esn	86
search_typing_hunke	86
diski_pick_homepage	81
search_typing_ritua	81
search_typing_notin	79
search_typing_sting	78
smartphonehoesjes.nl	78
search_typing_cotto	77
search_typing_pulla	77
giftcard_inmodal_shein	76
search_typing_esual	76
search_typing_fashi	76
search_typing_thing	76
footlocker	75
giftcard_inmodal_wehkamp	75
comp_codes_aff_open_oduree.nl	74
creamyfabrics	74
search_typing_icip	74
giftcard_inmodal_tessv	73
giftcard_intable_homepage	73
search_typing_thes	73
insta_top	72
navbar_blogs	72
search_typing_minre	72
search_typing_parfu	72
comp_codes_aff_open_shoesme	71
giftcard_inmodal_zara	71
search_typing_littl	71
search_typing_thest	70
search_typing_footl	69
search_typing_boozy	67
search_typing_pull	67
comp_codes_aff_open_gymshark	66
stronger	66
giftcard_companypage_table_ginatricot	65
search_typing_shoeb	65
search_typing_smart	65
famousstore	64
hellofresh.nl	64
only	64
search_typing_booho	64
sizzthebrand	64
spacenk.com	63
airup	62
giftcard_companypage_table_etos	62
giftcard_inmodal_stradivarius	62
comp_codes_aff_open_lookfantastic	61
search_typing_korea	61
cashback_companypage_table_h&m	60
giftcard_companypage_table_pinkgellac	60
search_typing_deloo	60
desenio	59
search_typing_stron	59
comp_codes_aff_open_picnic	57
merodacosmetics	57
search_typing_lookf	57
search_typing_mypro	57
search_typing_vanha	57
giftcard_companypage_table_h&m	56
search_typing_pinkg	56
search_typing_studi	56
search_typing_vanh	56
bylashbabe	55
comp_codes_aff_open_snipes	55
lyko	55
prijsvergelijker_homepage_banner	55
comp_codes_aff_open_hunkemoller	54
giftcard_companypage_table_loavies	54
search_typing_meet	54
search_typing_merod	54
wolletjebol	54
decathlon	53
etos	53
sunweb	53
hollandandbarrett	51
koreanskincare	51
search_typing_booki	51
zooplus.nl	51
comp_codes_aff_open_ginatricot	50
search_typing_cream	50
search_typing_stelz	50
bjornborg	49
charlottetilbury	49
comp_codes_aff_open_xxlnutrition	49
mimamsterdam	49
search_typing_decat	49
search_typing_snugg	49
comp_codes_aff_open_parfumado	48
giftcard_companypage_table_wehkamp	48
giftcard_inmodal_iciparisxl	48
search_typing_meetm	48
colourfulrebel	47
comp_codes_aff_open_veromoda	47
giftcard_inmodal_amazon	47
orangebag	47
search_typing_kaart	47
search_typing_ninja	47
comp_codes_aff_open_cfab	45
search_typing_hidde	45
search_typing_theli	44
bonprix	43
giftcard_companypage_table_aliexpress	43
giftcard_companypage_table_bijenkorf	43
giftcard_inmodal_nike	43
ninjakitchen	43
samsung	43
search_typing_ideal	43
search_typing_kwant	43
search_typing_wildf	43
weekday	43
xoxowildhearts	43
comp_codes_aff_open_plutosport	42
dfyne	42
giftcard_inmodal_about you	42
navbar_contact	42
search_typing_body	42
comp_codes_aff_open_olivida.nl	41
finaste.nl	41
search_typing_famou	41
search_typing_hen	41
search_typing_plein	41
search_typing_space	41
search_typing_thel	41
boohoo	40
cfab	40
comp_codes_aff_open_stronger	40
giftcard_companypage_table_custtom.nl	40
giftcard_inmodal_gymshark	40
giftcard_inmodal_jdsports	40
giftcard_inmodal_lounge by zalando	40
plutosport	40
search_typing_diski	40
search_typing_holla	40
search_typing_manfi	40
search_typing_suits	40
sellpy	40
yesstyle	40
cider	39
johnbeerens	39
loopearplugs	39
search_typing_uniql	39
dominos	38
search_typing_sissy	38
comp_codes_aff_open_amazon	37
coolblue	37
giftcard_inmodal_hema	37
search_typing_urban	37
strengthen.store	37
giftcard_companypage_table_zara	36
manfield	36
parfumado	36
search_typing_nakd	36
search_typing_shien	36
stoxenergy	36
zelesta.nl	36
elisestore	35
giftcard_companypage_table_douglas	35
giftcard_inmodal_ginatricot	35
search_typing_green	35
search_typing_pink	35
search_typing_zeles	35
haarshop	34
kaptenandson	34
search_typing_bonpr	34
search_typing_inter	34
search_typing_pluto	34
search_typing_xenos	34
terstal	34
uber eats	34
comp_codes_aff_open_action	33
giftcard_companypage_table_airup	33
search_typing_domin	33
search_typing_zalam	33
uwantisell	33
comp_codes_aff_open_burga	32
getdrezzed	32
giftcard_companypage_table_sellpy	32
giftcard_inmodal_bijenkorf	32
giftcard_inmodal_mediamarkt	32
newbalance	32
wefashion	32
comp_codes_aff_open_bylashbabe	31
cultbeauty	31
geurwolkje	31
giftcard_companypage_table_picnic	31
giftcard_inmodal_bershka	31
parfumdreams.nl	31
pullupanddipofficial	31
search_typing_cider	31
search_typing_zalad	31
veneta.com	31
search_typing_lotso	30
search_typing_venet	30
search_typing_weekd	30
try_temu	30
cashback_companypage_table_douglas	29
comp_codes_aff_open_next	29
giftcard_companypage_table_fashiontiger.nl	29
giftcard_companypage_table_mediamarkt	29
search_typing_airup	29
search_typing_beaus	29
search_typing_kruid	29
search_typing_melle	29
search_typing_sneak	29
search_typing_sport	29
search_typing_yours	29
yoursurprise	29
begolden	28
comp_codes_aff_open_fotofabriek.nl	28
comp_codes_aff_open_myproteinnl	28
comp_codes_aff_open_paulaschoice.nl	28
giftcard_companypage_table_asos	28
giftcard_companypage_table_pullandbear	28
giftcard_inmodal_asos	28
search_typing_beaut	28
search_typing_charl	28
search_typing_drei	28
search_typing_hello	28
search_typing_rhode	28
search_typing_zala	28
nelsonschoenen	27
picnic	27
search_typing_dfyne	27
search_typing_jewel	27
search_typing_nelso	27
giftcard_inmodal_etos	26
leolive	26
onceuponapp	26
search_typing_desig	26
search_typing_guts	26
search_typing_pando	26
search_typing_wefas	26
sharecode_zalando	26
comp_codes_aff_open_adidas	25
comp_codes_aff_open_omoda	25
giftcard_companypage_table_maniacnails	25
maniacnails	25
search_typing_boozt	25
search_typing_brand	25
search_typing_holli	25
search_typing_prijs	25
search_typing_sklum	25
search_typing_zoopl	25
blakelywomen	24
comp_codes_aff_open_loungeunderwear	24
comp_codes_aff_open_thuisbezorgd	24
kruidvat	24
search_typing_albel	24
search_typing_bjorn	24
search_typing_coolb	24
search_typing_sophi	24
search_typing_suspi	24
search_typing_terst	24
search_typing_water	24
search_typing_winke	24
comp_codes_aff_open_westwing	23
plein.nl	23
search_typing_elise	23
search_typing_finas	23
search_typing_gisou	23
search_typing_leenb	23
search_typing_orang	23
search_typing_wefa	23
wildrefill	23
fashionomi	22
fotofabriek.nl	22
giftcard_companypage_table_iciparisxl	22
olcaygulsenbeauty	22
search_typing_apple	22
search_typing_beach	22
search_typing_bodya	22
comp_codes_aff_open_prozis	21
giftcard_companypage_table_hema	21
giftcard_companypage_table_stradivarius	21
oduree.nl	21
search_typing_colou	21
search_typing_dekbe	21
search_typing_flaco	21
search_typing_henm	21
search_typing_lucar	21
search_typing_nespr	21
search_typing_sunwe	21
search_typing_trave	21
sharecode_loavies	21
giftcard_inmodal_pinkgellac	20
joybuy	20
search_typing_asics	20
search_typing_gutsg	20
search_typing_harpe	20
search_typing_karwe	20
search_typing_live	20
search_typing_moet	20
search_typing_notbr	20
search_typing_onlin	20
search_typing_passa	20
search_typing_tilti	20
stevemadden	20
zone2sportswear	20
emmasleepnl	19
giftcard_companypage_table_esn	19
giftcard_inmodal_decathlon	19
icaniwill	19
kidsdeco.nl	19
levis	19
maurestore	19
morenutrition	19
praxis	19
sacha	19
samfriday.com	19
scapino	19
search_typing_atelj	19
search_typing_babyd	19
search_typing_begol	19
search_typing_bersk	19
search_typing_calze	19
search_typing_haren	19
search_typing_kapte	19
search_typing_zalnd	19
search_typing_zara	19
search_typing_zlaan	19
cloudpillo.nl	18
comp_codes_aff_open_cabaulifestyle	18
comp_codes_aff_open_greetz.nl	18
comp_codes_aff_open_lucovitaal	18
comp_codes_aff_open_notino	18
dyson	18
giftcard_companypage_table_coolblue	18
plein	18
search_typing_blake	18
search_typing_blits	18
search_typing_couri	18
search_typing_drogi	18
search_typing_lovie	18
search_typing_mania	18
search_typing_pathe	18
search_typing_samsu	18
search_typing_shei	18
search_typing_steve	18
search_typing_sushi	18
achateshop.com	17
aresgymclothing	17
bearswithbenefits	17
bozasieraden	17
comp_codes_aff_open_etsy	17
goedgemerkt	17
search_typing_alie	17
search_typing_cen	17
search_typing_cloud	17
search_typing_kleer	17
search_typing_leen	17
search_typing_sacha	17
search_typing_style	17
search_typing_verom	17
tiktok_top	17
comp_codes_aff_open_ahead-nutrition	16
comp_codes_aff_open_smartphonehoesjes.nl	16
comp_codes_aff_open_spacenk.com	16
dutchies.com	16
fashiontiger.nl	16
fuelyourbody	16
giftcard_companypage_table_only	16
giftcard_inmodal_dominos	16
giftcard_inmodal_only	16
search_typing_anout	16
search_typing_belsi	16
search_typing_bloom	16
search_typing_doona	16
search_typing_dreiz	16
search_typing_dyson	16
search_typing_ibood	16
search_typing_lots	16
search_typing_mezal	16
search_typing_newy	16
search_typing_nunoo	16
search_typing_picni	16
search_typing_straf	16
search_typing_thewi	16
search_typing_uwant	16
search_typing_vero	16
sharecode_shein	16
studiovreeken	16
urbanoutfitters	16
aimnsportswear	15
bloomon	15
comp_codes_aff_open_haarspullen	15
duobedankt	15
flink	15
giftcard_companypage_topteaser	15
giftcards_page_bol.com	15
giftcards_page_cashback_douglas	15
jbl	15
lampenlicht.nl	15
navbar_prijsvergelijker	15
search_typing_asos	15
search_typing_dhein	15
search_typing_losvi	15
search_typing_miint	15
search_typing_nikki	15
search_typing_plate	15
search_typing_prozi	15
search_typing_yesst	15
shopatlot	15
albelli	14
comp_codes_aff_open_merodacosmetics	14
getyourguide	14
giftcard_companypage_table_bershka	14
giftcards_page_zalando	14
maycosmetics.nl	14
one2track.nl	14
search_typing_birke	14
search_typing_gamma	14
search_typing_lashb	14
search_typing_olcay	14
search_typing_other	14
search_typing_praxi	14
search_typing_scuff	14
search_typing_super	14
search_typing_theo	14
search_typing_theor	14
search_typing_uniqu	14
search_typing_vitam	14
sharecode_tessv	14
armedangels	13
atelje	13
bolbanner_koken	13
boohooman	13
comp_codes_aff_open_mango	13
comp_codes_aff_open_plein	13
comp_codes_aff_open_zooplus.nl	13
easytoys	13
giftcard_companypage_table_amazon	13
giftcard_inmodal_coolblue	13
kwakzalversports	13
search_typing_amevi	13
search_typing_babyp	13
search_typing_bodye	13
search_typing_dutch	13
search_typing_easyt	13
search_typing_estri	13
search_typing_flink	13
search_typing_frank	13
search_typing_joybu	13
search_typing_maure	13
search_typing_naked	13
search_typing_noten	13
search_typing_oysho	13
search_typing_party	13
search_typing_prett	13
search_typing_vand	13
search_typing_weste	13
vidaxl	13
viperdrinks	13
bolbanner_mode	12
etsy	12
giftcard_companypage_table_decathlon	12
giftcard_companypage_table_jdsports	12
logitech	12
ohmydotz	12
prenatal	12
prozis	12
quotrell	12
search_typing_ameri	12
search_typing_assem	12
search_typing_belle	12
search_typing_bootz	12
search_typing_edikt	12
search_typing_emest	12
search_typing_exame	12
search_typing_getdr	12
search_typing_hange	12
search_typing_hema	12
search_typing_home2	12
search_typing_isano	12
search_typing_lovel	12
search_typing_motel	12
search_typing_roque	12
search_typing_salom	12
search_typing_samfr	12
search_typing_schuu	12
search_typing_sellp	12
search_typing_sheib	12
search_typing_sheim	12
search_typing_suit	12
search_typing_voetb	12
search_typing_woovi	12
smeg	12
volero.nl	12
ahead-nutrition	11
bolbanner_huishouden	11
bulk.com	11
comp_codes_aff_open_bonprix	11
comp_codes_aff_open_yesstyle	11
doonails	11
edikted	11
giftcard_inmodal_uber eats	11
home24	11
hostinger	11
koro.com	11
lego	11
mothersearth	11
onlyformen	11
puma	11
search_typing_crocs	11
search_typing_emes	11
search_typing_jurkj	11
search_typing_label	11
search_typing_landa	11
search_typing_light	11
search_typing_myju	11
search_typing_newyo	11
search_typing_petit	11
search_typing_pienp	11
search_typing_rosef	11
search_typing_salon	11
search_typing_scapi	11
search_typing_stren	11
search_typing_stude	11
search_typing_sungl	11
search_typing_vidax	11
search_typing_vinte	11
search_typing_voler	11
search_typing_wild	11
search_typing_xxlnu	11
theordinary	11
carhartt	10
comp_codes_aff_open_footlocker	10
comp_codes_aff_open_samsung	10
corendon	10
firmoo	10
giftcard_companypage_table_kruidvat	10
giftcard_companypage_table_nike	10
giftcard_inmodal_airup	10
iherb	10
koreancosmetics.nl	10
moovvmore.nl	10
mydentalproducts	10
schuurman schoenen	10
search_typing_aboit	10
search_typing_abouy	10
search_typing_agrad	10
search_typing_ahein	10
search_typing_alpin	10
search_typing_arket	10
search_typing_armed	10
search_typing_bears	10
search_typing_cabea	10
search_typing_carha	10
search_typing_celin	10
search_typing_cena	10
search_typing_cente	10
search_typing_diugl	10
search_typing_equal	10
search_typing_hang	10
search_typing_happy	10
search_typing_intim	10
search_typing_jdsp	10
search_typing_jdspo	10
search_typing_konin	10
search_typing_liavi	10
search_typing_livei	10
search_typing_miss	10
search_typing_newb	10
search_typing_newba	10
search_typing_piece	10
search_typing_samf	10
search_typing_skins	10
search_typing_sunny	10
search_typing_tenni	10
search_typing_vant	10
search_typing_viper	10
search_typing_vitak	10
search_typing_zieng	10
alpinehearingprotection	9
bolbanner_baby	9
caiacosmetics	9
clayandglow	9
comp_codes_aff_open_geurwolkje	9
comp_codes_aff_open_stekkies	9
duifhuizen.nl	9
giftcard_companypage_table_dominos	9
giftcard_companypage_table_gymshark	9
giftcard_companypage_table_lounge by zalando	9
giftcard_companypage_table_maniko-nails.nl	9
gymexclusive.com	9
ibood	9
laukisieraden	9
otensien.nl	9
peek&cloppenburg	9
phomocameras	9
pieces	9
search_typing_achat	9
search_typing_calvi	9
search_typing_cheap	9
search_typing_divai	9
search_typing_fanny	9
search_typing_farfe	9
search_typing_haibu	9
search_typing_lampe	9
search_typing_livin	9
search_typing_myhai	9
search_typing_mypr	9
search_typing_petsp	9
search_typing_pharm	9
search_typing_prena	9
search_typing_ronan	9
search_typing_shwin	9
search_typing_siera	9
search_typing_stanl	9
search_typing_stieg	9
search_typing_stone	9
search_typing_swapp	9
search_typing_thed	9
search_typing_thew	9
search_typing_ticke	9
search_typing_tilbu	9
search_typing_vande	9
search_typing_victo	9
search_typing_wegka	9
search_typing_zarah	9
sharecode_about you	9
sharecode_guts en gusto	9
sharecode_temu	9
stylevana	9
ultrahuman_ring	9
bolbanner_wonen	8
bubbleroom	8
comp_codes_aff_open_home24	8
comp_codes_aff_open_koreanskincare	8
comp_codes_aff_open_plein.nl	8
comp_codes_aff_open_wefashion	8
cos	8
fabiennechapot	8
fittwear.nl	8
flaatch.nl	8
giftcard_inmodal_aliexpress	8
justfrankyjewellery	8
lasisters	8
novalora	8
rowenta	8
safecourtkitchen	8
salontopper	8
